City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
150,Borba,BR,-4.3878,-59.5939,71.96,100,100,1.19,2022-01-30 04:25:59
151,Tasiilaq,GL,65.6145,-37.6368,12.36,63,100,12.17,2022-01-30 04:21:24
152,Price,US,39.5994,-110.8107,26.11,74,0,3.44,2022-01-30 04:26:00
153,Lavrentiya,RU,65.5833,-171.0,-4.07,88,3,3.8,2022-01-30 04:21:42
154,Bemidji,US,47.4736,-94.8803,13.14,79,100,13.8,2022-01-30 04:23:28
155,Vanimo,PG,-2.6741,141.3028,79.25,82,100,11.59,2022-01-30 04:26:00
156,Kudahuvadhoo,MV,2.6708,72.8944,81.36,74,80,10.58,2022-01-30 04:26:00
157,Kirakira,SB,-10.4544,161.9205,84.78,74,54,9.37,2022-01-30 04:22:59
158,Archidona,ES,37.0965,-4.3887,50.36,26,0,5.28,2022-01-30 04:26:01
159,Galle,LK,6.0367,80.217,83.53,61,6,3.62,2022-01-30 04:26:01
160,Hastings,GB,50.8552,0.5729,40.89,84,4,9.37,2022-01-30 04:26:02
161,Chokurdakh,RU,70.6333,147.9167,-20.61,89,85,1.79,2022-01-30 04:26:02
162,Kangaatsiaq,GL,68.3065,-53.4641,5.81,90,100,17.25,2022-01-30 04:26:02
163,Mahebourg,MU,-20.4081,57.7,83.25,78,40,10.36,2022-01-30 04:21:53
164,Macamic,CA,48.7502,-78.9996,-7.37,100,88,2.8,2022-01-30 04:26:03
165,Marrakesh,MA,31.6315,-8.0083,51.87,50,40,2.3,2022-01-30 04:26:04
166,Praia,CV,14.9215,-23.5087,68.54,68,40,21.85,2022-01-30 04:26:02
167,Nizwa,OM,22.9333,57.5333,68.13,40,0,0.81,2022-01-30 04:26:04
168,Cidreira,BR,-30.1811,-50.2056,70.83,70,27,10.65,2022-01-30 04:25:20
169,Ponta Do Sol,PT,32.6667,-17.1,61.43,41,6,5.53,2022-01-30 04:26:05
170,Burnie,AU,-41.0667,145.9167,74.95,64,9,8.41,2022-01-30 04:26:05
171,Tezu,IN,27.9167,96.1667,64.85,31,0,3.69,2022-01-30 04:26:05
172,Tierralta,CO,8.1736,-76.0592,72.64,91,8,3.53,2022-01-30 04:26:06
