City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
156,Hami,CN,42.8,93.45,32.59,21,100,7.07,overcast clouds
157,Saint George,US,37.1041,-113.5841,36.19,41,0,4.0,clear sky
158,Fortuna,US,40.5982,-124.1573,44.42,93,75,0.0,broken clouds
159,Muisne,EC,0.6,-80.0333,75.88,85,100,5.82,overcast clouds
160,Marystown,CA,47.1666,-55.1483,39.85,100,100,1.01,overcast clouds
161,Avarua,CK,-21.2078,-159.775,78.85,83,40,6.91,scattered clouds
162,Ambanja,MG,-13.6833,48.45,75.13,89,100,6.6,moderate rain
163,Jarvakandi,EE,58.7789,24.8258,33.39,98,100,10.58,light snow
164,Kemijarvi,FI,66.7131,27.4306,21.49,94,100,11.43,light snow
165,Bangarapet,IN,12.9667,78.2,85.39,40,100,7.72,overcast clouds
166,Tuatapere,NZ,-46.1333,167.6833,54.82,64,26,7.29,scattered clouds
167,Medicine Hat,CA,50.0501,-110.6683,38.91,63,40,5.99,scattered clouds
168,Jedrzejow,PL,50.6394,20.3045,39.18,62,100,8.99,overcast clouds
169,Samfya,ZM,-11.3649,29.5565,64.49,91,100,4.7,overcast clouds
170,Valleyview,CA,55.0667,-117.2859,2.68,99,100,2.98,overcast clouds
171,Maamba,ZM,-17.3667,27.15,74.97,74,61,1.81,broken clouds
172,Bubaque,GW,11.2833,-15.8333,77.63,56,0,9.51,clear sky
173,Faanui,PF,-16.4833,-151.75,80.94,73,82,14.65,light rain
174,Hambantota,LK,6.1241,81.1185,91.74,52,20,6.91,few clouds
175,Sumbe,AO,-11.2061,13.8437,77.11,75,68,4.7,broken clouds
176,Letlhakeng,BW,-24.0944,25.0298,75.16,62,16,13.13,few clouds
177,Taoudenni,ML,22.6783,-3.9836,60.58,16,100,9.73,overcast clouds
178,Vardo,NO,70.3705,31.1107,22.53,90,100,27.45,light snow
179,Wajir,KE,1.7471,40.0573,83.88,44,74,9.33,broken clouds
180,Janauba,BR,-15.8025,-43.3089,70.21,88,100,3.58,overcast clouds
181,Elizabeth City,US,36.2946,-76.2511,41.02,95,100,14.97,overcast clouds
182,Kitui,KE,-1.367,38.0106,75.78,51,100,4.81,overcast clouds
183,Cotonou,BJ,6.3654,2.4183,78.78,94,20,2.3,mist
184,Mangrol,IN,21.1167,70.1167,73.6,45,6,6.6,clear sky
185,Trinidad,BO,-14.8333,-64.9,72.57,98,95,3.67,light rain
186,Nola,IT,40.922,14.5329,55.92,77,81,5.99,broken clouds
187,Kuminskiy,RU,58.6667,66.5667,22.3,92,100,5.12,overcast clouds
188,Upernavik,GL,72.7868,-56.1549,-1.16,93,100,4.09,overcast clouds
189,Pringsewu,ID,-5.3582,104.9744,76.62,89,100,1.88,moderate rain
190,Tucuman,AR,-26.8241,-65.2226,64.4,100,40,6.91,mist
191,Egvekinot,RU,66.3167,-179.1667,-9.24,84,3,14.07,clear sky
192,Kachug,RU,53.9606,105.8817,15.03,86,100,1.19,overcast clouds
193,Padang,ID,-0.9492,100.3543,82.45,82,78,3.33,broken clouds
194,Mar Del Plata,AR,-38.0023,-57.5575,64.09,87,100,10.0,moderate rain
195,Ilulissat,GL,69.2167,-51.1,8.62,72,75,12.66,mist
196,Hasaki,JP,35.7333,140.8333,45.28,30,99,15.14,overcast clouds
197,Cherskiy,RU,68.75,161.3,-31.86,97,10,3.58,clear sky
198,Dudinka,RU,69.4058,86.1778,1.62,97,96,5.1,overcast clouds
199,Oriximina,BR,-1.7656,-55.8661,72.63,94,67,3.15,broken clouds
200,Constitucion,CL,-35.3333,-72.4167,58.53,78,3,8.81,clear sky
201,Arco,IT,45.9177,10.8867,47.79,86,97,4.03,overcast clouds
202,Sault Sainte Marie,CA,46.5168,-84.3333,1.96,70,0,0.0,clear sky
203,Takoradi,GH,4.8845,-1.7554,78.6,84,3,2.66,light rain
204,Goderich,CA,43.7501,-81.7165,10.9,85,100,3.44,overcast clouds
205,Hovd,MN,48.0056,91.6419,-1.55,83,2,4.12,clear sky
206,Warrington,GB,53.3925,-2.5802,43.86,85,20,1.01,few clouds
207,Te Anau,NZ,-45.4167,167.7167,57.76,58,1,6.62,clear sky
208,Flinders,AU,-34.5833,150.8552,71.38,65,81,8.99,broken clouds
209,Chapais,CA,49.7834,-74.8492,-24.02,98,100,3.2,overcast clouds
210,Concepcion Del Uruguay,AR,-32.4825,-58.2372,69.98,92,100,1.99,overcast clouds
211,Esperance,AU,-33.8667,121.9,96.64,50,0,22.41,clear sky
212,Lewistown,US,40.5992,-77.5714,28.08,96,100,0.0,overcast clouds
213,Turtas,RU,58.9417,69.1325,22.96,90,100,5.03,overcast clouds
214,Husavik,IS,66.0449,-17.3389,13.91,94,82,8.32,broken clouds
215,Wajid,SO,3.8093,43.2471,87.26,21,4,18.52,clear sky
216,Airai,TL,-8.9266,125.4092,68.04,82,100,3.36,overcast clouds
217,Angoche,MZ,-16.2325,39.9086,83.1,68,95,10.94,overcast clouds
218,Russell,US,32.3502,-85.1999,36.12,85,100,9.6,overcast clouds
219,Paso De Los Toros,UY,-32.8167,-56.5167,68.52,92,100,5.03,overcast clouds
220,Ribeira Grande,PT,38.5167,-28.7,57.6,82,40,11.5,scattered clouds
221,Road Town,VG,18.4167,-64.6167,73.99,73,100,18.7,light rain
222,Vao,NC,-22.6667,167.4833,80.37,85,99,7.27,overcast clouds
223,Salina,US,38.8403,-97.6114,22.3,87,0,5.75,clear sky
224,Buraydah,SA,26.326,43.975,55.85,30,0,12.66,clear sky
225,Adrar,MR,20.5022,-10.0711,59.85,14,99,9.22,overcast clouds
226,Gizycko,PL,54.0381,21.7644,32.86,98,100,19.19,snow
227,Brokopondo,SR,4.75,-55.1667,74.52,92,100,6.06,overcast clouds
228,Khani,GE,41.9563,42.9566,26.17,91,93,6.31,light snow
229,Villa Altagracia,DO,18.673,-70.171,67.01,89,74,3.58,broken clouds
230,Shush,IR,32.1942,48.2436,60.48,42,0,14.27,clear sky
231,Lompoc,US,34.6391,-120.4579,54.19,83,0,5.75,clear sky
232,Comitan,MX,16.25,-92.1333,51.91,91,2,5.23,clear sky
233,Uvalde,US,29.3669,-99.767,30.58,46,0,0.0,clear sky
234,Zeya,RU,53.75,127.2667,6.75,60,100,5.26,overcast clouds
235,Broome,US,42.2506,-75.833,16.7,82,100,1.99,mist
236,Prince Rupert,CA,54.3161,-130.3201,44.29,75,100,11.5,haze
237,Diapaga,BF,12.0708,1.7889,64.08,14,0,9.62,clear sky
